Analysis Id,Sample Id,Sample,Fixed,Lat,Long,Dist,Bearing,Direction,Collection,Source,Description,Weight,Depth,Surface_Area,Shape,Uncertainty,MDA,Method,Nuclide,Result,Result
197557,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,2.91E-06,4.82E-06,Gamma Spectroscopy,I-132,-2E-06,-20%
197559,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,2.91E-06,4.82E-06,Gamma Spectroscopy,Te-132,-1.98E-06,-20%
197561,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,5.82E-06,9.89E-06,Gamma Spectroscopy,Mo-99,-1.82E-06,-18%
197563,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,5.14E-08,5.00E-08,GP Counting,Sr-90,9.23E-09,0%
197565,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,5.14E-08,5.00E-08,GP Counting,Sr-89,         ,
197567,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,3.22E-08,5.00E-08,GP Counting,Sr-Total,6.91E-08,1%
197569,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,9.35E-08,1.40E-07,Gamma Spectroscopy,Ba-140,8.81E-08,1%
197571,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,8.29E-07,1.23E-06,Gamma Spectroscopy,Te-129m,1.60E-07,2%
197573,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,2.48E-07,4.25E-07,Gamma Spectroscopy,Ce-144,1.67E-07,2%
197575,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,1.31E-07,1.79E-07,Gamma Spectroscopy,Cs-136,4.80E-07,5%
197577,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,9.28E-07,4.35E-07,Gamma Spectroscopy,I-131,1.48E-05,148%
197579,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,1.05E-06,6.79E-08,Gamma Spectroscopy,Cs-137,1.72E-05,172%
197581,8995,SCF-08754,FALSE,37.663411,140.713638,24.19061043,313.8462575,NW,4/17/2011 12:50,DOE,Field Team: Exposure rate in collection area - 800 uR/hr. ; Description: AMS Box Falserth - Untilled Rice Patty Field - Location #1. ;,250,2,100,,5.31E-07,8.46E-08,Gamma Spectroscopy,Cs-134,1.75E-05,175%
197643,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,2.63E-06,3.82E-06,Gamma Spectroscopy,Te-129m,-1.27E-06,-13%
197645,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,2.50E-05,0,Gamma Spectroscopy,I-132,9.91E-11,0%
197647,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,2.50E-05,0,Gamma Spectroscopy,Te-132,9.91E-11,0%
197649,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,1.71E-07,0,Gamma Spectroscopy,Mo-99,1.38E-10,0%
197651,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,2.84E-08,3.28E-08,GP Counting,Sr-90,4.69E-08,0%
197653,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,2.84E-08,3.28E-08,GP Counting,Sr-90,4.69E-08,0%
197655,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,5.95E-07,1.01E-06,Gamma Spectroscopy,Ce-144,4.89E-08,0%
197657,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,3.86E-08,3.28E-08,GP Counting,Sr-Total,4.06E-07,4%
197659,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,2.84E-08,3.28E-08,GP Counting,Sr-89,5.39E-07,5%
197661,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,2.84E-08,3.28E-08,GP Counting,Sr-89,5.39E-07,5%
197663,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,3.72E-07,5.80E-07,Gamma Spectroscopy,Ba-140,7.82E-07,8%
197665,8989,SCF-08757,FALSE,37.662836,140.792067,21.25062291,321.7794269,NW,4/17/2011 13:40,DOE,Field Team: Expsoure Rate in collection area - 0.7 mR/hr with RO-20.; Description: AMS Falserth Box Undisturbed Flat area. Location 2. ;,250,2,100,,8.58E-07,8.81E-07,Gamma Spectroscopy,Cs-136,3.82E-06,38%
